,endereco,latitude,longitude
0,"Avenida das Americas, 5000, Rio de Janeiro",-22.99877215,-43.36052085
1,"Avenida Ayrton Senna, 3000, Rio de Janeiro",-22.9831448,-43.362847
2,"Avenida das Americas, 4666, Rio de Janeiro",-22.997784850000002,-43.35833079068942
3,"Avenida das Americas, 3900, Rio de Janeiro",-22.998154149999998,-43.35126316940686
4,"Avenida das Americas, 500, Rio de Janeiro",-23.00296895,-43.31709619707924
5,"Avenida Dom Helder Camara, 5080, Rio de Janeiro",-22.8927249,-43.2397187
6,"Avenida Pastor Martin Luther King Junior, 126, Rio de Janeiro",-22.875949,-43.2716793
7,"Avenida Maracana, 987, Rio de Janeiro",-22.92185615,-43.23514577483553
8,"Avenida Afranio de Melo Franco, 290, Rio de Janeiro",-22.9822847,-43.216875399206344
9,"Avenida Vinte de Janeiro, S/N, Rio de Janeiro",-22.8072316,-43.254543
10,"Rua Visconde de Piraja, 206, Rio de Janeiro",-22.9846729,-43.1970133
11,"Avenida Nossa Senhora de Copacabana, 1058, Rio de Janeiro",-22.9856853,-43.1900807
12,"Rua Voluntarios da Patria, 89, Rio de Janeiro",-22.9517868,-43.1847278
13,"Praia de Botafogo, 400, Rio de Janeiro",-22.9475824,-43.18335540115539
14,"Praia de Botafogo, 228, Rio de Janeiro",-22.9423615,-43.181523163881664
15,"Avenida Lauro Sodre, 445, Rio de Janeiro",-22.9532376,-43.1789597
16,"Avenida Rio Branco, 143, Rio de Janeiro",-22.9050997,-43.1774634
17,"Praca Floriano, 7, Rio de Janeiro",-22.9105539,-43.1760956
18,"Rua do Carmo, 11, Rio de Janeiro",-22.9044321,-43.1756121
19,"Praca Senador Salgado Filho, S/N, Rio de Janeiro",-22.910452,-43.1681243
20,"Rua Quinze de Novembro, 8, Niteroi",-22.5092557,-44.0920607
